Concurso,Data,bola 1,bola 2,bola 3,bola 4,bola 5,bola 6,Acertou
2566,18/02/2023,53,23,45,57,11,59,1
2565,16/02/2023,54,13,25,39,9,46,1
2564,14/02/2023,19,14,8,45,32,7,1
2563,11/2/2023,5,50,30,14,9,38,1
2562,8/2/2023,44,32,57,12,51,6,1
2561,4/2/2023,22,44,56,51,37,19,1
2560,1/2/2023,52,48,5,20,17,4,1
2559,28/01/2023,12,32,35,20,9,30,1
2558,25/01/2023,10,25,34,2,18,44,1
2557,21/01/2023,13,3,27,25,16,33,1
2556,18/01/2023,34,10,14,2,6,56,1
2555,14/01/2023,45,58,3,20,52,53,1
2554,12/1/2023,43,19,25,44,48,49,1
2553,10/1/2023,58,54,15,55,13,53,1
2552,7/1/2023,24,38,41,5,33,25,1
2551,4/1/2023,25,43,46,48,1,29,1
2550,31/12/2022,59,34,4,58,10,5,1
2549,17/12/2022,30,10,33,1,6,35,1
2548,14/12/2022,25,23,29,30,9,15,1
2547,10/12/2022,37,10,38,25,31,57,1
2546,7/12/2022,34,3,48,28,23,38,1
2545,3/12/2022,57,36,32,39,20,23,1
2544,30/11/2022,25,56,55,38,45,53,1
2543,26/11/2022,46,5,53,2,27,30,1
2542,24/11/2022,25,22,12,26,55,20,1
2541,22/11/2022,47,45,28,59,10,57,1
2540,19/11/2022,28,8,49,34,41,2,1
2539,16/11/2022,59,36,23,1,33,32,1
2538,12/11/2022,33,15,6,52,20,19,1
2537,9/11/2022,24,26,48,37,12,31,1
2536,5/11/2022,45,9,27,30,33,22,1
2535,3/11/2022,24,56,1,3,51,37,1
2534,29/10/2022,36,56,60,28,44,39,1
2533,26/10/2022,53,20,17,37,45,18,1
2532,22/10/2022,17,14,30,10,18,23,1
2531,20/10/2022,18,56,1,5,49,55,1
2530,18/10/2022,14,28,17,18,30,44,1
2529,15/10/2022,5,57,56,59,32,3,1
2528,13/10/2022,15,60,22,53,56,4,1
2527,8/10/2022,48,56,19,38,29,8,1
2526,5/10/2022,2,59,24,38,16,43,1
2525,1/10/2022,51,47,21,26,13,4,1
2524,28/09/2022,22,37,3,41,43,20,1
2523,24/09/2022,37,45,1,27,10,36,1
2522,21/09/2022,32,4,25,39,40,5,1
2521,17/09/2022,59,23,28,55,33,38,1
2520,15/09/2022,22,41,2,17,60,58,1
2519,13/09/2022,20,8,3,36,57,38,1
2518,10/9/2022,22,23,44,3,60,53,1
2517,8/9/2022,6,1,22,16,5,39,1
2516,3/9/2022,49,17,53,51,8,52,1
2515,31/08/2022,54,3,41,12,45,19,1
2514,27/08/2022,5,15,52,34,45,24,1
2513,24/08/2022,50,21,13,46,35,19,1
2512,20/08/2022,47,52,10,49,34,7,1
2511,17/08/2022,49,39,4,15,41,10,1
2510,13/08/2022,25,32,13,57,8,44,1
2509,10/8/2022,50,8,37,59,39,60,1
2508,6/8/2022,51,45,41,53,58,48,1
2507,4/8/2022,4,34,6,35,12,53,1
2506,2/8/2022,21,44,40,34,22,29,1
2505,30/07/2022,43,26,5,51,3,19,1
2504,27/07/2022,42,14,41,55,44,33,1
2503,23/07/2022,45,43,14,16,38,3,1
2502,20/07/2022,39,21,16,44,20,55,1
2501,16/07/2022,58,32,11,27,59,40,1
2500,13/07/2022,32,55,25,16,5,39,1
2499,9/7/2022,38,11,56,59,47,19,1
2498,6/7/2022,26,47,9,29,46,12,1
2497,2/7/2022,14,5,48,52,46,23,1
2496,30/06/2022,46,31,26,58,38,7,1
2495,28/06/2022,33,41,8,12,30,14,1
2494,25/06/2022,22,1,54,4,10,53,1
2493,22/06/2022,44,4,56,9,37,43,1
2492,18/06/2022,33,10,52,31,42,30,1
2491,15/06/2022,53,48,29,43,38,22,1
2490,11/6/2022,11,16,41,17,46,59,1
2489,8/6/2022,13,10,41,25,42,3,1
2488,4/6/2022,40,34,57,31,17,56,1
2487,2/6/2022,54,42,48,36,23,58,1
2486,31/05/2022,19,8,9,33,17,56,1
2485,28/05/2022,60,12,38,47,5,32,1
2484,25/05/2022,59,36,41,54,14,11,1
2483,21/05/2022,54,49,34,38,40,20,1
2482,18/05/2022,32,1,57,44,35,45,1
2481,14/05/2022,1,37,36,21,8,27,1
2480,11/5/2022,31,56,6,4,50,9,1
2479,7/5/2022,21,10,35,20,17,15,1
2478,4/5/2022,2,23,28,46,17,39,1
2477,30/04/2022,20,49,33,37,50,38,1
2476,28/04/2022,46,49,2,55,7,32,1
2475,26/04/2022,60,45,1,44,58,40,1
2474,23/04/2022,38,30,22,49,56,39,1
2473,20/04/2022,55,15,28,60,42,18,1
2472,16/04/2022,18,5,13,23,36,35,1
2471,13/04/2022,30,8,23,29,55,36,1
2470,9/4/2022,51,8,48,42,33,40,1
2469,6/4/2022,5,55,38,30,28,52,1
2468,2/4/2022,22,41,53,42,35,57,1
2467,30/03/2022,1,10,45,19,35,34,1
2466,26/03/2022,54,53,20,2,13,3,1
2465,23/03/2022,29,54,53,8,3,23,1
2464,19/03/2022,2,43,7,52,24,56,1
2463,16/03/2022,11,31,16,42,51,37,1
2462,12/3/2022,3,16,57,23,45,41,1
2461,9/3/2022,37,32,21,11,16,8,1
2460,5/3/2022,35,18,28,17,16,47,1
2459,3/3/2022,33,49,15,59,24,53,1
2458,26/02/2022,44,47,15,40,51,45,1
2457,24/02/2022,50,49,19,47,10,46,1
2456,22/02/2022,52,41,28,55,40,34,1
2455,19/02/2022,59,53,38,21,50,56,1
2454,16/02/2022,14,44,22,9,24,47,1
2453,12/2/2022,44,24,10,34,14,15,1
2452,9/2/2022,56,57,8,10,51,58,1
2451,5/2/2022,13,51,26,60,31,46,1
2450,2/2/2022,17,39,11,6,15,2,1
2449,29/01/2022,14,49,52,31,20,21,1
2448,27/01/2022,32,48,30,40,35,18,1
2447,25/01/2022,52,13,19,42,49,29,1
2446,22/01/2022,13,58,51,27,1,41,1
2445,19/01/2022,25,32,47,11,37,56,1
2444,15/01/2022,17,43,20,35,37,15,1
2443,12/1/2022,31,1,12,13,5,17,1
2442,8/1/2022,49,9,7,2,41,25,1
2441,5/1/2022,42,9,41,54,46,47,1
2440,31/12/2021,46,32,15,12,23,33,1
2439,18/12/2021,47,38,2,34,51,8,1
2438,15/12/2021,37,11,55,25,4,19,1
2437,11/12/2021,41,19,55,1,46,48,1
2436,9/12/2021,38,54,32,15,5,28,1
2435,7/12/2021,32,30,36,33,22,5,1
2434,4/12/2021,28,14,40,2,51,1,1
2433,1/12/2021,8,53,9,57,32,52,1
2432,27/11/2021,52,44,29,38,7,40,1
2431,24/11/2021,11,36,26,25,8,22,1
2430,20/11/2021,26,19,46,56,45,39,1
2429,17/11/2021,60,11,56,37,53,55,1
2428,13/11/2021,25,3,28,29,9,39,1
2427,10/11/2021,56,3,19,25,37,44,1
2426,6/11/2021,57,27,24,11,32,5,1
2425,3/11/2021,46,38,31,10,54,49,1
2424,30/10/2021,17,3,38,53,16,37,1
2423,27/10/2021,51,18,48,60,38,16,1
2422,23/10/2021,7,30,2,46,10,20,1
2421,21/10/2021,32,48,35,57,2,3,1
2420,19/10/2021,8,44,60,5,39,29,1
2419,16/10/2021,10,53,43,48,35,50,1
2418,13/10/2021,19,57,27,11,60,2,1
2417,9/10/2021,3,11,27,46,7,10,1
2416,6/10/2021,6,37,57,26,11,7,1
2415,2/10/2021,29,12,60,26,35,10,1
2414,30/09/2021,4,14,29,6,5,38,1
2413,28/09/2021,48,37,22,3,40,41,1
2412,25/09/2021,16,60,36,34,9,49,1
2411,22/09/2021,7,26,43,44,34,29,1
2410,18/09/2021,10,59,35,43,7,27,1
2409,15/09/2021,58,39,49,2,52,29,1
2408,11/9/2021,29,38,57,4,30,43,1
2407,8/9/2021,17,43,31,13,55,54,1
2406,4/9/2021,29,43,12,8,54,60,1
2405,1/9/2021,21,38,59,53,49,48,1
2404,28/08/2021,19,35,1,40,47,54,1
2403,25/08/2021,32,12,14,34,33,10,1
2402,21/08/2021,60,29,6,30,25,22,1
2401,18/08/2021,8,38,13,33,11,48,1
2400,14/08/2021,9,26,36,25,21,53,1
2399,12/8/2021,52,42,35,27,51,44,1
2398,10/8/2021,36,59,17,30,8,54,1
2397,7/8/2021,6,14,48,46,20,39,1
2396,4/8/2021,3,25,2,49,42,39,1
2395,31/07/2021,44,11,4,45,57,12,1
2394,28/07/2021,42,44,5,25,36,16,1
2393,24/07/2021,32,28,38,51,27,26,1
2392,21/07/2021,53,34,25,15,23,11,1
2391,17/07/2021,5,8,13,27,50,36,1
2390,14/07/2021,20,13,9,56,32,22,1
2389,10/7/2021,39,30,16,51,37,40,1
2388,7/7/2021,8,37,45,48,33,30,1
2387,3/7/2021,38,26,30,8,31,48,1
2386,1/7/2021,35,13,11,50,49,16,1
2385,29/06/2021,32,12,43,37,24,60,1
2384,26/06/2021,25,26,9,13,22,31,1
2383,23/06/2021,41,16,40,20,15,13,1
2382,19/06/2021,53,6,19,9,38,55,1
2381,16/06/2021,47,41,32,7,23,42,1
2380,12/6/2021,53,39,11,16,20,24,1
2379,9/6/2021,26,32,56,2,8,46,1
2378,5/6/2021,37,49,41,54,11,38,1
2377,2/6/2021,35,5,44,18,43,29,1
2376,29/05/2021,22,12,17,18,19,14,1
2375,26/05/2021,58,6,46,53,44,2,1
2374,22/05/2021,25,37,39,13,41,12,1
2373,19/05/2021,44,26,23,49,60,24,1
2372,15/05/2021,19,25,44,46,3,57,1
2371,12/5/2021,30,48,36,4,39,15,1
2370,8/5/2021,56,31,37,7,44,42,1
2369,6/5/2021,60,9,19,4,17,37,1
2368,4/5/2021,13,7,36,25,58,4,1
2367,30/04/2021,29,5,23,34,53,60,1
2366,28/04/2021,33,41,38,27,4,35,1
2365,24/04/2021,44,50,17,28,37,1,1
2364,22/04/2021,42,56,33,20,51,44,1
2363,17/04/2021,34,6,58,39,14,24,1
2362,14/04/2021,35,22,32,20,50,3,1
2361,10/4/2021,46,21,35,29,14,22,1
2360,8/4/2021,15,21,24,45,29,10,1
2359,6/4/2021,39,42,43,51,31,32,1
2358,3/4/2021,5,43,16,11,9,57,1
2357,31/03/2021,28,34,51,19,40,30,1
2356,27/03/2021,51,36,3,58,10,25,1
2355,24/03/2021,31,7,30,41,56,50,1
2354,20/03/2021,18,54,25,6,30,42,1
2353,17/03/2021,19,3,34,53,48,41,1
2352,13/03/2021,17,55,9,41,38,49,1
2351,10/3/2021,35,49,19,22,47,41,1
2350,6/3/2021,45,28,34,29,25,41,1
2349,3/3/2021,54,25,5,10,49,32,1
2348,27/02/2021,2,3,51,48,54,7,1
2347,24/02/2021,17,58,9,60,30,8,1
2346,20/02/2021,4,58,3,40,11,42,1
2345,17/02/2021,16,22,7,55,19,28,1
2344,13/02/2021,38,11,52,57,17,25,1
2343,10/2/2021,56,49,31,4,45,42,1
2342,6/2/2021,20,24,17,27,40,60,1
2341,3/2/2021,9,46,4,32,31,42,1
2340,30/01/2021,49,41,16,51,28,21,1
2339,28/01/2021,4,48,59,29,47,18,1
2338,26/01/2021,21,8,34,47,42,23,1
2337,23/01/2021,2,51,49,9,34,55,1
2336,20/01/2021,20,27,50,8,10,28,1
2335,16/01/2021,18,42,49,47,9,23,1
2334,13/01/2021,22,4,20,25,13,60,1
2333,9/1/2021,41,53,55,9,16,31,1
2332,6/1/2021,12,33,44,52,35,36,1
2331,2/1/2021,53,16,11,57,13,36,1
2330,31/12/2020,22,35,17,41,20,42,1
2329,19/12/2020,42,28,45,14,12,55,1
2328,16/12/2020,11,8,39,14,48,53,1
2327,12/12/2020,54,45,30,57,37,58,1
2326,10/12/2020,27,36,34,16,57,10,1
2325,8/12/2020,33,37,60,34,46,52,1
2324,5/12/2020,31,2,43,19,60,16,1
2323,2/12/2020,35,27,39,20,50,59,1
2322,28/11/2020,5,10,2,29,34,41,1
2321,25/11/2020,41,43,25,28,14,46,1
2320,21/11/2020,30,6,35,48,39,42,1
2319,18/11/2020,17,25,6,35,49,40,1
2318,14/11/2020,54,58,52,28,44,60,1
2317,11/11/2020,35,48,30,33,3,8,1
2316,7/11/2020,49,11,56,43,52,2,1
2315,4/11/2020,10,17,1,26,30,53,1
2314,31/10/2020,28,6,7,42,45,49,1
2313,28/10/2020,45,3,58,26,20,49,1
2312,24/10/2020,60,39,3,46,47,27,1
2311,22/10/2020,60,9,35,43,5,3,1
2310,20/10/2020,13,42,17,28,53,29,1
2309,17/10/2020,33,60,11,29,9,30,1
2308,14/10/2020,26,9,58,38,60,13,1
2307,10/10/2020,38,53,46,55,33,16,1
2306,7/10/2020,28,58,19,3,57,33,1
2305,3/10/2020,57,55,38,7,16,22,1
2304,30/09/2020,12,54,57,21,29,56,1
2303,26/09/2020,17,50,48,20,3,7,1
2302,23/09/2020,44,43,25,18,27,22,1
2301,19/09/2020,18,36,47,52,35,17,1
2300,17/09/2020,37,39,21,9,54,43,1
2299,15/09/2020,3,40,19,60,2,44,1
2298,12/9/2020,13,21,49,41,17,31,1
2297,9/9/2020,20,22,41,59,35,40,1
2296,5/9/2020,29,6,36,59,21,1,1
2295,2/9/2020,28,6,41,26,35,13,1
2294,29/08/2020,9,43,20,41,33,15,1
2293,26/08/2020,1,48,42,10,2,37,1
2292,22/08/2020,18,57,6,33,42,16,1
2291,19/08/2020,37,31,26,12,36,49,1
2290,15/08/2020,60,36,5,57,44,18,1
2289,13/08/2020,6,34,37,38,45,9,1
2288,11/8/2020,35,39,2,26,56,40,1
2287,8/8/2020,29,4,2,41,6,56,1
2286,5/8/2020,42,43,41,9,21,30,1
2285,1/8/2020,12,10,33,7,42,1,1
2284,29/07/2020,46,36,12,10,4,14,1
2283,25/07/2020,24,4,37,43,59,60,1
2282,22/07/2020,30,52,12,27,36,45,1
2281,18/07/2020,35,40,14,55,50,27,1
2280,16/07/2020,50,28,58,29,59,31,1
2279,14/07/2020,28,12,20,5,27,14,1
2278,11/7/2020,34,17,37,43,8,45,1
2277,8/7/2020,23,10,53,60,22,37,1
2276,4/7/2020,49,27,5,18,57,15,1
2275,1/7/2020,25,50,2,53,4,36,1
2274,27/06/2020,8,55,40,11,33,17,1
2273,24/06/2020,58,15,20,16,38,40,1
2272,20/06/2020,5,41,11,49,24,2,1
2271,17/06/2020,6,10,41,52,27,28,1
2270,13/06/2020,41,16,48,14,38,39,1
2269,10/6/2020,55,14,23,29,11,1,1
2268,6/6/2020,4,30,52,23,13,28,1
2267,3/6/2020,48,49,53,20,32,33,1
2266,30/05/2020,23,37,59,10,58,31,1
2265,27/05/2020,50,20,46,23,14,39,1
2264,23/05/2020,29,19,8,2,37,3,1
2263,20/05/2020,43,49,57,33,9,24,1
2262,16/05/2020,7,30,46,23,8,14,1
2261,13/05/2020,23,26,51,27,29,7,1
2260,9/5/2020,37,12,14,34,35,47,1
2259,7/5/2020,54,56,58,20,27,41,1
2258,5/5/2020,26,7,1,23,14,5,1
2257,2/5/2020,18,30,21,31,34,51,1
2256,29/04/2020,9,37,30,10,54,47,1
2255,25/04/2020,20,15,57,49,39,41,1
2254,22/04/2020,47,4,24,44,56,9,1
2253,18/04/2020,32,39,55,33,52,31,1
2252,15/04/2020,46,50,1,17,37,30,1
2251,11/4/2020,58,22,26,15,54,5,1
2250,8/4/2020,39,52,27,57,58,33,1
2249,4/4/2020,4,49,9,31,47,53,1
2248,1/4/2020,20,9,42,29,30,15,1
2247,28/03/2020,42,53,47,1,44,48,1
2246,25/03/2020,9,33,46,24,27,5,1
2245,21/03/2020,33,11,14,34,15,18,1
2244,18/03/2020,11,5,42,3,34,37,1
2243,14/03/2020,14,38,28,18,35,54,1
2242,12/3/2020,24,42,18,5,25,9,1
2241,10/3/2020,56,18,26,13,1,40,1
2240,7/3/2020,25,9,7,10,58,19,1
2239,4/3/2020,27,39,7,31,46,45,1
2238,29/02/2020,57,36,11,58,55,45,1
2237,27/02/2020,60,27,28,20,53,11,1
2236,22/02/2020,7,53,43,20,45,38,1
2235,19/02/2020,14,55,35,30,18,57,1
2234,15/02/2020,47,29,42,4,27,21,1
2233,12/2/2020,45,35,6,41,4,32,1
2232,8/2/2020,31,34,38,47,7,8,1
2231,5/2/2020,4,13,53,40,25,57,1
2230,1/2/2020,39,17,56,60,26,7,1
2229,29/01/2020,6,41,40,29,58,11,1
2228,25/01/2020,19,45,39,9,23,32,1
2227,23/01/2020,9,6,27,32,12,57,1
2226,21/01/2020,2,7,38,30,4,16,1
2225,18/01/2020,1,37,47,44,46,32,1
2224,15/01/2020,23,50,58,32,52,16,1
2223,11/1/2020,49,26,2,56,40,42,1
2222,8/1/2020,14,48,30,29,59,13,1
2221,4/1/2020,23,34,45,57,5,56,1
2220,31/12/2019,38,58,35,3,40,57,1
2219,21/12/2019,57,59,45,8,28,36,1
2218,19/12/2019,16,6,38,22,52,48,1
2217,17/12/2019,16,32,36,30,14,10,1
2216,14/12/2019,24,42,48,10,43,49,1
2215,11/12/2019,21,23,43,1,19,33,1
2214,7/12/2019,18,30,4,10,34,47,1
2213,4/12/2019,7,5,10,60,32,46,1
2212,30/11/2019,51,58,53,52,26,23,1
2211,27/11/2019,27,44,36,54,41,40,1
2210,23/11/2019,11,33,34,25,24,17,1
2209,20/11/2019,32,22,47,28,33,25,1
2208,16/11/2019,30,45,16,49,25,40,1
2207,13/11/2019,43,11,6,55,53,10,1
2206,9/11/2019,42,38,45,6,27,57,1
2205,6/11/2019,21,42,12,57,37,28,1
2204,4/11/2019,32,56,29,28,1,35,1
2203,30/10/2019,34,46,57,50,17,49,1
2202,26/10/2019,43,60,37,38,29,11,1
2201,24/10/2019,13,49,3,41,53,23,1
2200,22/10/2019,28,55,36,43,11,15,1
2199,19/10/2019,38,23,30,44,35,15,1
2198,16/10/2019,56,11,34,44,36,1,1
2197,14/10/2019,29,11,3,35,44,57,1
2196,9/10/2019,56,28,27,1,41,25,1
2195,5/10/2019,24,32,38,53,46,14,1
2194,2/10/2019,16,8,20,21,34,31,1
2193,28/09/2019,8,7,42,27,29,22,1
2192,26/09/2019,57,53,7,59,16,37,1
2191,24/09/2019,33,46,26,4,53,8,1
2190,21/09/2019,53,35,25,9,5,20,1
2189,18/09/2019,33,29,11,4,16,22,1
2188,14/09/2019,60,51,21,28,2,17,1
2187,11/9/2019,16,21,50,10,46,11,1
2186,9/9/2019,27,19,12,41,18,46,1
2185,4/9/2019,19,42,18,47,22,9,1
2184,31/08/2019,51,15,52,36,59,45,1
2183,28/08/2019,51,13,43,30,34,26,1
2182,24/08/2019,59,47,46,19,39,22,1
2181,21/08/2019,8,1,19,48,36,33,1
2180,17/08/2019,16,12,10,21,28,38,1
2179,14/08/2019,24,2,35,54,50,13,1
2178,10/8/2019,16,21,42,2,50,56,1
2177,8/8/2019,14,9,48,11,31,51,1
2176,6/8/2019,23,8,25,43,39,44,1
2175,3/8/2019,55,53,7,32,43,25,1
2174,31/07/2019,36,10,34,15,60,56,1
2173,27/07/2019,9,48,44,42,2,50,1
2172,24/07/2019,9,57,43,37,28,24,1
2171,20/07/2019,19,12,13,36,55,44,1
2170,17/07/2019,36,21,51,10,24,38,1
2169,13/07/2019,45,7,34,59,51,54,1
2168,11/7/2019,37,25,29,4,1,27,1
2167,9/7/2019,37,45,38,43,54,27,1
2166,6/7/2019,44,3,34,56,19,58,1
2165,3/7/2019,56,49,54,43,5,37,1
2164,29/06/2019,48,17,58,47,16,25,1
2163,26/06/2019,45,20,24,36,18,8,1
2162,22/06/2019,11,30,42,34,16,22,1
2161,19/06/2019,24,10,8,44,9,42,1
2160,15/06/2019,53,49,1,46,47,19,1
2159,12/6/2019,53,35,38,14,45,26,1
2158,8/6/2019,9,27,46,59,35,45,1
2157,5/6/2019,34,48,31,39,33,35,1
2156,1/6/2019,49,39,23,6,26,1,1
2155,29/05/2019,37,44,2,27,6,47,1
2154,25/05/2019,53,41,47,50,7,25,1
2153,22/05/2019,13,28,31,8,33,32,1
2152,18/05/2019,49,36,29,26,59,50,1
2151,15/05/2019,36,38,2,29,14,18,1
2150,11/5/2019,38,24,23,26,42,49,1
2149,8/5/2019,21,48,46,23,44,37,1
2148,4/5/2019,59,33,8,58,32,15,1
2147,2/5/2019,49,42,17,19,37,41,1
2146,27/04/2019,39,42,16,18,44,31,1
2145,24/04/2019,6,59,28,8,51,53,1
2144,20/04/2019,21,33,55,16,7,60,1
2143,17/04/2019,12,58,35,51,2,57,1
2142,13/04/2019,44,50,52,57,7,40,1
2141,10/4/2019,10,19,11,37,41,17,1
2140,6/4/2019,20,54,36,17,42,26,1
2139,3/4/2019,58,29,23,41,14,57,1
2138,30/03/2019,30,34,4,21,13,14,1
2137,27/03/2019,2,1,49,11,12,34,1
2136,23/03/2019,35,22,11,1,30,8,1
2135,20/03/2019,23,48,59,28,40,9,1
2134,16/03/2019,54,6,46,21,59,34,1
2133,13/03/2019,26,20,19,51,52,57,1
2132,9/3/2019,5,60,18,39,35,30,1
2131,6/3/2019,28,18,20,6,2,3,1
2130,2/3/2019,13,53,16,36,55,54,1
2129,28/02/2019,60,46,12,6,32,31,1
2128,26/02/2019,24,55,46,16,11,54,1
2127,23/02/2019,7,46,28,30,44,1,1
2126,20/02/2019,58,39,27,7,24,12,1
2125,16/02/2019,44,1,31,53,46,58,1
2124,13/02/2019,31,20,47,43,2,11,1
2123,9/2/2019,47,59,14,56,50,15,1
2122,6/2/2019,27,21,3,11,15,49,1
2121,2/2/2019,37,8,17,29,10,40,1
2120,30/01/2019,38,41,20,24,25,13,1
2119,26/01/2019,42,49,26,31,19,21,1
2118,23/01/2019,41,11,12,46,20,40,1
2117,19/01/2019,28,43,4,29,52,30,1
2116,17/01/2019,21,19,1,9,34,54,1
2115,15/01/2019,19,40,35,44,27,4,1
2114,12/1/2019,35,17,30,25,42,57,1
2113,9/1/2019,11,21,46,14,25,50,1
2112,5/1/2019,17,46,43,53,52,39,1
